District,Safe Drinking water (%),Unsafe Drinking water (%)
Ampara,84.8,15.2
Anuradhapura,77.3,22.7
Badulla,46.9,53.1
Batticaloa,95.1,4.9
Colombo,88.1,11.9
Galle,85.3,14.7
Gampaha,93,7
Hambantota,77,23
Jaffna,93.7,6.3
Kaluthara,85.3,14.7
Kandy,74.8,25.2
Kegalle,69.1,30.9
Killinochchi,72.2,27.8
Kurunegala,85.1,14.9
Mannar,85.3,14.7
Matale,70.2,29.8
Mathara,74.1,25.9
Monaragala,69.9,30.1
Mullaitivu,71,29
Nuwara Eliya,38.7,61.3
Polonnaruwa,74.8,25.2
Puttalama,81,19
Rathnapura,52.5,47.5
Trincomalee,86.2,13.8
Vauniya,93.3,6.7
